doc_id,ela_score,dct_score,metadata_flag_count,clone_ratio,text_alignment_score,font_inconsistency,signature_mismatch,noise_hotspots,color_patch_score,ai_artifact_score,compression_mismatch,label
DOC_0001,47.45,33.06,3,0.0056,11.66,9.95,24.11,36.55,24.51,6.29,28.01,0
DOC_0002,19.94,0.87,2,0.0025,9.89,2.48,0.0,15.68,0.0,2.28,19.11,0
DOC_0003,8.79,23.76,0,0.018,6.25,0.89,8.71,23.23,0.67,6.04,0.0,0
DOC_0004,7.37,21.97,3,0.0075,9.03,0.95,-1.0,10.39,14.34,6.72,0.37,0
DOC_0005,44.86,29.61,1,0.0246,20.12,12.07,22.88,29.89,14.29,12.65,49.63,0
DOC_0006,32.81,32.4,2,0.002,27.56,0.74,13.24,51.51,36.46,9.71,58.47,0
DOC_0007,10.84,79.86,0,0.0006,7.61,14.32,-1.0,55.69,7.85,2.96,72.98,0
DOC_0008,25.32,23.29,2,0.0012,13.81,4.45,-1.0,11.08,0.0,6.48,20.61,0
DOC_0009,62.08,50.78,0,0.003,5.58,11.72,0.0,73.86,19.26,0.0,57.6,0
DOC_0010,18.48,44.63,0,0.002,9.81,7.7,-1.0,26.43,12.51,8.96,8.91,0
DOC_0011,29.22,5.98,2,0.0055,4.6,14.53,-1.0,0.0,8.41,0.0,22.74,0
DOC_0012,48.21,82.9,2,0.002,9.42,7.15,23.56,73.41,33.07,0.0,60.77,0
DOC_0013,20.08,27.82,1,0.0023,9.78,9.09,-1.0,17.93,3.71,14.33,22.74,0
DOC_0014,8.47,26.57,2,0.0013,3.08,8.12,17.52,12.55,3.48,0.55,9.84,0
DOC_0015,38.84,39.78,4,0.0058,28.54,0.0,13.65,25.72,23.79,8.21,45.71,0
DOC_0016,69.1,53.69,2,0.0236,0.0,2.59,12.87,72.6,23.85,2.7,60.31,0
DOC_0017,18.47,8.57,3,0.0064,14.32,10.53,5.17,20.15,31.12,7.85,29.36,0
DOC_0018,76.31,66.73,2,0.0055,10.11,9.68,12.65,80.29,3.87,5.17,74.33,0
DOC_0019,59.16,57.07,1,0.0016,11.73,24.72,26.75,6.65,13.49,3.69,86.52,0
DOC_0020,11.66,18.85,0,0.0161,13.19,4.33,-1.0,32.65,10.43,0.0,27.18,0
DOC_0021,96.2,82.39,1,0.0012,4.34,6.34,-1.0,0.0,3.8,5.74,65.52,0
DOC_0022,64.49,14.98,3,0.0002,0.0,10.83,-1.0,48.58,10.8,10.56,29.22,0
DOC_0023,18.91,26.62,1,0.0041,0.0,8.2,9.13,17.81,4.26,3.96,13.07,0
DOC_0024,13.29,28.5,1,0.0058,9.84,2.85,-1.0,22.47,11.66,4.9,19.17,0
DOC_0025,54.16,21.13,1,0.0291,49.78,18.88,22.62,49.58,20.25,12.09,24.28,0
DOC_0026,20.59,18.7,3,0.0059,20.55,12.02,0.43,21.24,11.77,4.94,9.03,0
DOC_0027,18.61,13.23,2,0.0143,6.07,9.07,-1.0,17.45,4.96,2.64,20.32,0
DOC_0028,6.42,5.93,2,0.0182,6.72,0.0,22.56,14.81,1.98,4.91,15.11,0
DOC_0029,63.81,60.07,1,0.0048,13.21,5.6,15.66,38.14,12.1,7.49,70.27,0
DOC_0030,40.37,41.97,3,0.0045,6.33,7.22,23.76,29.89,10.81,0.0,27.11,0
DOC_0031,44.34,71.8,2,0.0183,25.01,12.0,-1.0,16.52,26.65,12.9,73.31,0
DOC_0032,14.3,53.95,4,0.0105,26.38,7.24,13.45,45.09,18.56,6.4,44.34,0
DOC_0033,45.99,52.44,2,0.0086,3.0,3.38,14.96,93.27,21.16,15.08,59.01,0
DOC_0034,65.91,56.33,3,0.0052,54.64,18.5,-1.0,45.88,0.0,0.9,3.53,0
DOC_0035,57.96,67.92,1,0.0114,0.96,9.88,-1.0,75.76,19.67,0.0,56.66,0
DOC_0036,42.43,67.05,0,0.0014,4.48,15.98,15.09,55.21,25.04,4.82,46.11,0
DOC_0037,56.07,57.58,0,0.0016,10.28,11.6,-1.0,33.43,10.23,10.07,85.58,0
DOC_0038,32.04,26.94,2,0.0055,27.67,13.96,4.12,100.0,31.43,8.98,20.67,0
DOC_0039,29.08,72.44,0,0.003,1.35,9.53,19.28,34.89,23.84,7.39,69.39,0
DOC_0040,84.85,64.7,0,0.0019,0.94,0.0,27.41,49.02,25.63,4.1,50.69,0
DOC_0041,31.11,22.9,2,0.0123,5.69,10.73,13.15,34.62,27.06,14.01,20.34,0
DOC_0042,18.79,27.51,2,0.0023,11.42,7.4,-1.0,17.6,2.57,8.19,1.38,0
DOC_0043,17.47,7.89,2,0.0004,5.69,2.99,16.08,20.3,16.65,0.0,10.03,0
DOC_0044,22.62,17.97,2,0.0168,4.38,8.44,22.64,18.38,5.53,2.56,13.67,0
DOC_0045,21.16,15.79,2,0.0037,6.04,4.75,20.41,0.0,5.89,5.09,34.76,0
DOC_0046,20.62,17.81,1,0.0044,12.63,6.83,-1.0,18.38,5.51,8.16,40.71,0
DOC_0047,19.45,22.48,1,0.0019,2.86,13.55,13.22,25.38,4.94,3.65,8.21,0
DOC_0048,14.45,23.77,1,0.0063,16.13,0.0,-1.0,0.0,16.98,8.27,17.44,0
DOC_0049,44.2,19.24,3,0.0054,21.26,9.52,-1.0,78.88,34.15,22.75,27.33,0
DOC_0050,47.16,52.74,2,0.0185,20.75,5.3,-1.0,54.82,3.45,12.94,59.1,0
DOC_0051,42.65,31.69,1,0.007,0.0,9.95,-1.0,66.54,26.96,19.09,74.9,0
DOC_0052,15.85,8.93,0,0.019,8.36,2.09,15.39,9.26,4.72,4.84,12.57,0
DOC_0053,12.3,21.06,2,0.0063,14.55,0.11,-1.0,0.92,3.33,0.0,35.52,0
DOC_0054,49.04,49.07,0,0.0025,9.68,26.48,-1.0,11.67,28.56,6.56,23.5,0
DOC_0055,50.66,41.22,4,0.0039,20.16,0.0,31.65,35.59,30.59,4.37,13.87,0
DOC_0056,16.65,43.48,3,0.0051,30.96,14.8,13.69,38.45,17.32,12.46,9.35,0
DOC_0057,7.21,27.43,1,0.0102,10.09,0.0,14.41,25.29,10.84,6.28,27.83,0
DOC_0058,64.98,49.2,2,0.0196,1.2,5.56,15.99,33.99,1.12,2.61,14.72,0
DOC_0059,10.19,30.54,2,0.0035,9.11,9.04,-1.0,40.6,7.42,10.75,10.97,0
DOC_0060,61.48,86.87,1,0.0053,7.5,1.3,27.29,59.09,17.52,7.55,67.31,0
DOC_0061,37.67,9.97,3,0.013,49.45,18.19,-1.0,36.44,22.49,9.63,12.68,0
DOC_0062,23.78,49.74,4,0.0185,20.82,4.74,22.87,46.73,12.45,6.52,30.36,0
DOC_0063,65.33,46.38,0,0.0142,8.48,4.8,28.44,74.01,28.9,8.49,73.98,0
DOC_0064,32.24,54.73,3,0.0063,28.53,1.89,-1.0,20.8,6.98,1.97,23.48,0
DOC_0065,57.38,72.81,0,0.0049,8.29,24.17,-1.0,37.33,15.94,8.45,100.0,0
DOC_0066,30.43,27.57,2,0.0014,25.89,5.39,2.26,30.02,23.66,5.58,44.49,0
DOC_0067,19.62,4.84,2,0.0058,5.67,8.72,18.67,13.23,3.21,0.0,10.69,0
DOC_0068,17.73,37.95,0,0.0017,9.34,0.0,3.04,10.11,14.26,8.41,36.47,0
DOC_0069,22.67,16.41,2,0.0054,11.04,11.04,22.25,13.33,8.88,11.03,9.83,0
DOC_0070,20.95,16.07,2,0.004,8.28,9.77,0.0,11.92,9.31,6.25,33.77,0
DOC_0071,17.24,22.79,2,0.016,9.16,4.19,11.4,26.95,0.0,2.21,21.77,0
DOC_0072,58.48,29.01,2,0.0102,0.0,34.73,-1.0,33.66,13.23,0.32,38.47,0
DOC_0073,69.7,68.81,1,0.0078,4.46,14.29,-1.0,17.48,23.55,6.59,89.17,0
DOC_0074,20.74,24.57,2,0.0094,15.97,12.25,13.93,8.24,18.81,4.8,3.69,0
DOC_0075,41.92,25.47,2,0.0099,0.0,6.79,7.12,16.49,27.12,16.29,41.38,0
DOC_0076,47.5,54.14,0,0.0393,2.73,14.2,-1.0,73.13,0.0,6.52,47.77,0
DOC_0077,19.98,25.78,2,0.0153,40.31,29.13,12.01,30.89,12.24,12.19,32.72,0
DOC_0078,75.43,66.43,0,0.0132,13.58,13.21,39.83,60.23,15.16,6.08,64.36,0
DOC_0079,22.18,14.26,2,0.003,10.62,0.36,14.51,12.43,0.0,7.0,24.47,0
DOC_0080,14.13,35.74,1,0.0026,14.28,5.47,24.25,13.27,13.3,8.26,2.24,0
DOC_0081,84.15,79.84,1,0.0014,14.09,12.59,15.09,78.15,16.29,12.63,15.27,0
DOC_0082,27.19,2.6,1,0.0039,14.96,0.0,-1.0,15.77,0.3,9.98,13.06,0
DOC_0083,38.65,47.29,1,0.014,9.21,16.78,30.23,75.73,24.3,14.18,61.58,0
DOC_0084,53.34,67.64,0,0.0003,10.42,7.08,3.72,36.1,0.0,11.58,81.46,0
DOC_0085,76.97,2.87,0,0.0092,3.68,12.21,-1.0,67.14,22.17,13.22,65.44,0
DOC_0086,19.2,23.65,2,0.0054,14.3,6.99,13.59,21.39,1.14,13.17,6.54,0
