pdf_id,incremental_updates,eof_marker_count,metadata_anomaly_score,hidden_text_spans,white_text_spans,javascript_count,embedded_files_count,signature_gap_score,render_ela_suspicious_block_ratio,render_noise_hotspot_ratio,object_count,stream_entropy,xref_mismatch_score,font_switch_score,ocr_text_layer_gap,is_scanned_pdf,has_signature,hard_subtle_case,label
PDF_00001,1,2,40.29,3,4,1,0,10.36,0.1484,0.207,143,4.967,17.06,50.33,37.74,0,0,0,0
PDF_00002,0,2,26.93,2,1,1,0,0.0,0.0555,0.1088,72,5.282,1.0,10.51,8.39,0,0,0,0
PDF_00003,2,1,5.01,1,1,1,0,6.16,0.0995,0.0447,63,5.819,18.5,28.39,15.71,0,0,0,0
PDF_00004,1,1,22.97,0,4,0,0,30.62,0.1666,0.3054,154,4.831,6.35,23.31,62.72,1,0,0,0
PDF_00005,1,2,15.86,0,0,1,0,17.67,0.1835,0.0847,83,5.233,24.28,10.33,11.44,0,0,0,0
PDF_00006,0,1,5.3,2,0,1,0,4.21,0.1567,0.2224,76,5.786,0.0,0.0,68.73,1,0,0,0
PDF_00007,1,1,60.3,5,5,1,0,34.61,0.1961,0.1094,146,5.952,58.82,36.09,25.78,0,0,0,0
PDF_00008,0,1,5.9,2,0,0,0,5.18,0.057,0.0834,71,4.384,11.37,6.45,5.99,0,0,0,0
PDF_00009,0,1,0.0,0,2,1,0,0.0,0.0803,0.2233,92,5.447,0.0,0.0,34.16,1,0,0,0
PDF_00010,0,2,28.78,4,4,0,0,0.0,0.2134,0.299,91,5.0,13.44,12.09,56.32,1,0,0,0
PDF_00011,0,1,0.0,0,0,0,0,4.23,0.0,0.0505,55,4.16,0.0,0.0,0.0,0,0,0,0
PDF_00012,2,2,22.0,0,0,1,0,0.0,0.0085,0.0402,47,5.428,15.75,21.3,4.99,0,0,0,0
PDF_00013,0,1,0.0,2,0,0,0,0.0,0.0443,0.0,44,5.42,0.0,0.0,0.0,0,1,0,0
PDF_00014,1,1,17.27,4,2,1,0,16.61,0.2051,0.2924,101,5.051,19.37,11.22,61.04,1,1,0,0
PDF_00015,0,2,7.64,1,0,0,0,10.55,0.14,0.2146,79,5.326,9.18,25.78,8.63,0,0,0,0
PDF_00016,1,1,8.08,4,2,0,0,2.36,0.0453,0.152,81,5.353,23.92,20.48,18.6,0,0,0,0
PDF_00017,0,1,35.88,0,3,0,0,0.0,0.1649,0.0749,71,5.562,12.6,20.95,8.84,0,0,0,0
PDF_00018,1,2,0.0,0,0,0,0,0.0,0.0,0.0175,52,4.913,4.16,0.87,0.0,0,1,0,0
PDF_00019,0,2,15.79,3,1,1,0,0.0,0.0387,0.0809,76,4.817,27.31,10.19,21.94,0,1,0,0
PDF_00020,2,1,11.91,0,1,1,0,0.0,0.1729,0.3006,62,6.026,1.89,19.43,55.48,1,0,0,0
PDF_00021,0,2,0.0,0,2,1,0,0.0,0.2058,0.2772,76,5.168,0.0,0.0,42.5,1,1,0,0
PDF_00022,0,2,43.08,7,1,1,0,30.65,0.1872,0.1175,84,5.501,5.16,47.12,14.63,0,0,0,0
PDF_00023,0,1,11.7,1,2,1,0,1.87,0.0813,0.166,91,5.348,0.0,7.13,0.0,0,0,0,0
