filename,file_size_bytes,heuristic_score,heuristic_verdict,ela_mean,ela_max,ela_std,ela_suspicious_block_ratio,metadata_flag_count,file_entropy_bits,noise_hotspot_ratio,dct_comb_ratio,dct_skipped,clone_ratio,color_anomaly_ratio,color_largest_blob_px,edge_high_density_ratio,saturation_ratio,font_stroke_cv,font_suspicious_regions,font_sharpness_outlier_ratio,font_skipped,ai_spike_ratio,label
IMG_20260422_145719.jpg,3465054,74.0,TAMPERED,1.848,30.0,1.657,0.0,0,0.0,0.0041,0.933,0,0.5308,0.001871,5545,0.0839,0.0,0.2803,64,0.0113,0,1.7,0
IMG_20260422_145756.jpg,3934187,67.0,TAMPERED,2.056,30.0,1.819,0.0,0,0.0,0.002,1.222,0,0.5907,0.005803,19409,0.0472,0.0,0.4876,55,0.0582,0,1.68,0
IMG_20260422_145846.jpg,2951970,82.0,TAMPERED,1.535,34.0,1.613,0.0028,0,0.0,0.003,1.15,0,0.8187,0.013713,45201,0.1456,0.0206,0.2763,60,0.0488,0,1.64,0
IMG_20260422_145912.jpg,3567619,74.0,TAMPERED,1.808,29.0,1.748,0.0,0,0.0,0.0,0.737,0,0.533,0.010885,6784,0.1286,0.0132,0.3272,94,0.01,0,1.67,0
IMG_20260422_145942.jpg,2834650,47.0,LIKELY TAMPERED,1.49,44.0,1.826,0.0361,0,0.0,0.0449,1.16,0,0.8094,0.002572,826,0.1387,0.0488,0.3217,20,0.0425,0,1.53,0
IMG_20260422_150011.jpg,2646939,82.0,TAMPERED,1.404,45.0,1.569,0.0153,0,0.0,0.0263,0.917,0,0.4287,0.019064,8558,0.1559,0.0202,0.2608,58,0.0919,0,1.58,0
IMG_20260422_150036.jpg,3348754,35.0,LIKELY TAMPERED,1.74,34.0,1.685,0.003,0,0.0,0.0,1.0,0,0.037,0.000195,1103,0.1009,0.0356,0.2849,87,0.0741,0,1.68,0
IMG_20260422_150105.jpg,2247573,47.0,LIKELY TAMPERED,1.188,41.0,1.503,0.0361,0,0.0,0.0459,1.034,0,0.4673,4.7e-05,0,0.1474,0.0386,0.3056,40,0.039,0,1.55,0
IMG_20260422_150127.jpg,3866060,79.0,TAMPERED,1.991,35.0,2.006,0.0008,0,0.0,0.0132,0.933,0,0.7561,0.001889,9351,0.0942,0.0176,0.5506,48,0.0376,0,1.56,0
IMG_20260422_150156.jpg,3921462,74.0,TAMPERED,2.16,39.0,2.274,0.0029,0,0.0,0.0209,1.0,0,0.2847,0.15927,1672540,0.1615,0.001,0.2986,69,0.0225,0,1.56,0
IMG_20260422_150212.jpg,2991981,94.0,TAMPERED,1.5,26.0,1.423,0.0,0,0.0,0.001,1.357,0,0.4562,0.004982,22282,0.1367,0.0036,0.2943,58,0.0022,0,1.67,0
IMG_20260422_150242.jpg,2534598,74.0,TAMPERED,1.323,37.0,1.556,0.023,0,0.0,0.0206,1.185,0,0.949,0.00625,3060,0.1458,0.0194,0.3515,49,0.0166,0,1.63,0
IMG_20260422_150311.jpg,2407182,39.0,LIKELY TAMPERED,1.295,39.0,1.346,0.0144,0,0.0,0.0277,0.962,0,0.7048,3e-05,0,0.0843,0.0095,0.3156,42,0.0553,0,1.68,0
IMG_20260422_150326.jpg,2406164,74.0,TAMPERED,1.258,38.0,1.332,0.0191,0,0.0,0.0331,1.0,0,0.7297,0.015177,42485,0.0923,0.0191,0.3398,49,0.0217,0,1.67,0
IMG_20260422_150405.jpg,1967766,47.0,LIKELY TAMPERED,0.977,41.0,1.23,0.0366,0,0.0,0.0324,1.167,0,0.908,0.000168,0,0.1063,0.0403,0.257,19,0.0499,0,1.64,0
IMG_20260422_150414.jpg,2233719,82.0,TAMPERED,1.17,35.0,1.268,0.0206,0,0.0,0.0351,1.227,0,0.6493,0.018133,92839,0.0937,0.0226,0.2701,29,0.011,0,1.66,0
IMG_20260422_150450.jpg,2011236,74.0,TAMPERED,0.974,28.0,1.13,0.0283,0,0.0,0.027,0.815,0,0.4523,0.021775,4861,0.0799,0.0143,0.3423,15,0.0,0,1.67,0
IMG_20260422_150501.jpg,2139206,74.0,TAMPERED,1.119,41.0,1.227,0.0229,0,0.0,0.0233,1.231,0,0.398,0.00275,6517,0.0775,0.0045,0.3902,10,0.0297,0,1.64,0
IMG_20260422_150553.jpg,2633123,65.0,TAMPERED,1.325,40.0,1.556,0.0263,0,0.0,0.0375,0.931,0,1.0,0.00625,1679,0.1388,0.0613,0.3013,49,0.0025,0,1.57,0
IMG_20260422_150607.jpg,3534246,47.0,LIKELY TAMPERED,1.827,42.0,2.121,0.0084,0,0.0,0.0014,1.0,0,0.7037,0.000982,1290,0.1347,0.0251,0.2422,35,0.0205,0,1.5,0
IMG_20260422_150641.jpg,2568587,39.0,LIKELY TAMPERED,1.352,45.0,1.53,0.0308,0,0.0,0.0439,1.208,0,0.7298,2.2e-05,0,0.114,0.0008,0.3998,41,0.0008,0,1.56,0
IMG_20260422_150718.jpg,2157933,70.0,TAMPERED,1.14,40.0,1.381,0.0279,0,0.0,0.0611,1.032,0,0.9177,0.003993,1716,0.1276,0.1005,0.4262,46,0.0633,0,1.64,0
IMG_20260422_150745.jpg,2483786,44.0,LIKELY TAMPERED,1.282,41.0,1.46,0.0143,0,0.0,0.0625,1.103,0,0.876,3.8e-05,0,0.1287,0.0131,0.4313,25,0.0182,0,1.57,0
IMG_20260422_150811.jpg,2710824,74.0,TAMPERED,1.43,41.0,1.731,0.0343,0,0.0,0.0544,1.121,0,1.0,0.012526,13213,0.147,0.0196,0.3971,37,0.0,0,1.59,0
IMG_20260422_151327.jpg,2387981,27.0,UNCERTAIN,1.089,24.0,1.065,0.0007,0,0.0,0.0014,1.0,0,0.032,0.0001,0,0.1199,0.0,0.2818,32,0.0581,0,1.77,0
IMG_20260422_151352.jpg,2387061,62.0,TAMPERED,1.165,22.0,1.097,0.0007,0,0.0,0.0041,1.2,0,0.2393,0.004752,23156,0.1217,0.0013,0.3875,40,0.0561,0,1.77,0
IMG_20260422_151357.jpg,2354773,67.0,TAMPERED,1.113,27.0,1.069,0.0,0,0.0,0.0152,0.647,0,0.2257,0.000785,2612,0.1323,0.0,0.4191,36,0.0523,0,1.79,0
IMG_20260422_151404.jpg,2291734,62.0,TAMPERED,1.183,31.0,1.226,0.0089,0,0.0,0.0213,0.864,0,0.1127,0.03127,74969,0.1051,0.0076,0.3772,20,0.0015,0,1.69,0
IMG_20260422_151411.jpg,2226143,50.0,LIKELY TAMPERED,1.117,18.0,1.027,0.0,0,0.0,0.0003,0.941,0,0.0969,0.029688,46012,0.0591,0.0085,0.3624,24,0.0244,0,1.79,0
IMG_20260422_151423.jpg,1861210,50.0,LIKELY TAMPERED,0.917,19.0,0.944,0.0,0,0.0,0.0,0.92,0,0.1993,0.04935,272114,0.0584,0.0017,0.3975,22,0.0175,0,1.79,0
IMG_20260422_151531.jpg,3885351,90.0,TAMPERED,2.049,40.0,2.224,0.0116,0,0.0,0.0003,1.385,0,0.2413,0.010253,6532,0.0797,0.0564,0.315,95,0.06,0,1.59,0
IMG_20260422_145719.jpg,1951339,100.0,TAMPERED,1.618,43.0,1.48,0.0003,3,0.0,0.0084,1.571,0,0.505,0.001854,5423,0.0845,0.0,0.2941,60,0.0148,0,1.65,1
IMG_20260422_145756.jpg,2268503,100.0,TAMPERED,1.787,44.0,1.599,0.0003,3,0.0,0.0101,1.467,0,0.549,0.015333,99683,0.0566,0.0,0.5684,58,0.0644,0,1.63,1
IMG_20260422_145846.jpg,1703143,100.0,TAMPERED,1.439,57.0,1.453,0.0026,3,0.0,0.0044,1.65,0,0.7843,0.013499,46446,0.1441,0.0203,0.3053,60,0.0413,0,1.59,1
IMG_20260422_145912.jpg,2066807,100.0,TAMPERED,1.602,50.0,1.526,0.0004,3,0.0,0.0115,1.571,0,0.4543,0.008952,4920,0.1264,0.0133,0.3465,95,0.0201,0,1.62,1
IMG_20260422_145942.jpg,1595577,97.0,TAMPERED,1.391,42.0,1.63,0.0259,3,0.0,0.0392,1.61,0,0.7834,0.002325,550,0.1367,0.0494,0.3601,26,0.0477,0,1.55,1
IMG_20260422_150011.jpg,1492204,100.0,TAMPERED,1.335,40.0,1.409,0.0086,3,0.0,0.0206,1.571,0,0.3887,0.017935,8433,0.1555,0.0196,0.2717,55,0.0968,0,1.61,1
IMG_20260422_150036.jpg,1951203,85.0,TAMPERED,1.573,47.0,1.475,0.0009,3,0.0,0.0024,1.886,0,0.0527,0.000152,847,0.1059,0.0354,0.3298,86,0.0762,0,1.61,1
IMG_20260422_150105.jpg,1205234,97.0,TAMPERED,1.154,45.0,1.381,0.024,3,0.0,0.0426,1.524,0,0.443,5.1e-05,0,0.1471,0.0382,0.3206,42,0.0387,0,1.58,1
IMG_20260422_150127.jpg,2268701,100.0,TAMPERED,1.744,32.0,1.716,0.0012,3,0.0,0.0101,1.535,0,0.7721,0.001884,9230,0.1,0.0178,0.591,48,0.047,0,1.56,1
IMG_20260422_150156.jpg,2280906,100.0,TAMPERED,1.857,43.0,1.87,0.0041,3,0.0,0.0142,1.61,0,0.2963,0.160437,1662306,0.1644,0.001,0.3148,65,0.0333,0,1.55,1
IMG_20260422_150212.jpg,1696209,100.0,TAMPERED,1.366,22.0,1.27,0.0,3,0.0,0.0084,1.737,0,0.4623,0.00515,22971,0.138,0.0044,0.2947,54,0.0031,0,1.69,1
IMG_20260422_150242.jpg,1388423,100.0,TAMPERED,1.258,37.0,1.39,0.0132,3,0.0,0.0152,1.524,0,0.937,0.006126,1627,0.1423,0.02,0.3463,50,0.019,0,1.6,1
IMG_20260422_150311.jpg,1297112,89.0,TAMPERED,1.242,35.0,1.238,0.0094,3,0.0,0.023,1.65,0,0.707,1.5e-05,0,0.0801,0.0094,0.3133,43,0.0523,0,1.65,1
IMG_20260422_150326.jpg,1320326,100.0,TAMPERED,1.218,37.0,1.234,0.0099,3,0.0,0.0274,1.65,0,0.7364,0.014781,88959,0.092,0.0191,0.3008,50,0.0196,0,1.64,1
IMG_20260422_150405.jpg,1034633,100.0,TAMPERED,0.994,37.0,1.124,0.0185,3,0.0,0.0419,1.625,0,0.713,0.034071,94286,0.1132,0.0337,0.2603,19,0.0733,0,1.68,1
IMG_20260422_150414.jpg,1173774,100.0,TAMPERED,1.126,30.0,1.133,0.0062,3,0.0,0.0321,1.65,0,0.4217,0.017924,93336,0.0893,0.0225,0.2894,24,0.1065,0,1.71,1
IMG_20260422_150450.jpg,1012379,100.0,TAMPERED,0.971,22.0,1.031,0.0146,3,0.0,0.0253,1.548,0,0.3203,0.012835,4174,0.0787,0.0385,0.3884,14,0.0013,0,1.69,1
IMG_20260422_150501.jpg,1113439,100.0,TAMPERED,1.101,39.0,1.133,0.0119,3,0.0,0.0233,1.585,0,0.3443,0.002918,6307,0.0788,0.0052,0.3975,13,0.035,0,1.66,1
IMG_20260422_150553.jpg,1616174,100.0,TAMPERED,1.383,47.0,1.633,0.0233,3,0.0,0.0189,1.535,0,0.713,0.003813,1934,0.1508,0.0701,0.2998,39,0.0147,0,1.55,1
IMG_20260422_150607.jpg,2016837,97.0,TAMPERED,1.64,44.0,1.845,0.0119,3,0.0,0.0041,1.571,0,0.6158,0.000907,1295,0.1455,0.0243,0.2432,42,0.0296,0,1.52,1
IMG_20260422_150641.jpg,1450300,94.0,TAMPERED,1.321,48.0,1.486,0.0208,3,0.0,0.0449,1.61,0,0.7223,0.000316,803,0.1234,0.0005,0.4123,44,0.0009,0,1.56,1
IMG_20260422_150718.jpg,1196407,100.0,TAMPERED,1.139,42.0,1.328,0.0182,3,0.0,0.0564,1.625,0,0.9047,0.002893,1702,0.1312,0.0908,0.4332,49,0.0156,0,1.55,1
IMG_20260422_150745.jpg,960403,100.0,TAMPERED,0.278,45.0,0.595,0.1021,3,0.0,0.0209,1.294,0,0.8321,0.003581,3540,0.1371,0.0127,0.4705,25,0.0554,0,1.45,1
IMG_20260422_150811.jpg,1085223,100.0,TAMPERED,0.289,37.0,0.637,0.0909,3,0.0,0.0263,1.286,0,1.0,0.013807,14491,0.1429,0.0197,0.4295,39,0.0058,0,1.49,1
IMG_20260422_151327.jpg,917140,77.0,TAMPERED,0.303,20.0,0.531,0.0283,3,0.0,0.0047,1.424,0,0.0277,0.001659,1781,0.1244,0.0,0.2919,22,0.0474,0,1.61,1
IMG_20260422_151352.jpg,896352,100.0,TAMPERED,0.202,19.0,0.454,0.0527,3,0.0,0.0088,1.484,0,0.298,0.000261,0,0.1302,0.0013,0.3702,41,0.0472,0,1.61,1
