filename,file_size_bytes,heuristic_score,heuristic_verdict,incremental_updates,eof_marker_count,pdf_version,metadata_flag_count,metadata_creator,metadata_date_gap_days,total_unique_fonts,non_embedded_fonts,total_hidden_spans,white_text_spans,tiny_size_spans,javascript_count,embedded_files_count,has_open_action,has_xfa_form,page_count,blank_pages,unique_page_sizes,has_signature_field,signature_count,signature_coverage_gaps,render_ela_mean,render_ela_suspicious_block_ratio,render_noise_hotspot_ratio,embedded_image_count,embedded_noise_hotspot_ratio,file_entropy_bits,total_pdf_objects,obj_stm_count,label
114266-Mastercard-Experience.pdf,95348,65.0,TAMPERED,1,2,1.7,0,Microsoft® Word for Microsoft 365,0.0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.446,0.1639,0.1263,3,0.0,7.8936,68,0,0
20099939-ECard.pdf,93347,20.0,UNCERTAIN,0,1,1.4,0,PD4ML. HTML to PDF Converter for .NET,0.0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1.307,0.1589,0.0858,38,0.0,7.8222,98,0,0
20099939-Wipro-Experience.pdf,171475,45.0,LIKELY TAMPERED,0,1,1.4,0,JasperReports Library version 6.9.0-cb8f9004be492ccc537180b49c026951f4220bf3,0.0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.498,0.1433,0.1228,4,0.1272,7.9785,14,0,0
212608633-GE-Experience.pdf,184622,100.0,TAMPERED,2,3,1.7,1,Microsoft® Word for Office 365,0.0,5,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.54,0.194,0.115,1,0.2083,7.1972,144,0,0
212608633_65_2017-2018.pdf,149456,100.0,TAMPERED,2,3,1.4,0,ClearTax.in,0.0,5,0,0,0,0,0,0,0,0,7,0,1,0,3,2,1.093,0.1433,0.0234,4,0.1083,7.5382,74,0,0
212608633_65_2018-2019.pdf,166600,95.0,TAMPERED,1,2,1.4,1,pdftk 1.45 - www.pdftk.com,0.0,5,0,0,0,0,0,0,0,0,8,0,2,0,1,0,1.091,0.1428,0.0156,8,0.1083,7.5231,58,0,0
3126014-CMC-Experience.pdf,75588,52.0,LIKELY TAMPERED,0,1,1.7,2,,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.89,0.0327,0.0585,1,0.0088,7.9957,7,0,0
3682612-CMC-Contract-Experience.pdf,81164,52.0,LIKELY TAMPERED,0,1,1.7,2,,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.669,0.0288,0.0565,1,0.0079,7.9961,7,0,0
508961.pdf,402089,55.0,TAMPERED,0,1,1.5,1,Microsoft® Word 2016,0.0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.124,0.1715,0.1092,2,0.0769,7.9858,131,0,0
508963.pdf,402083,55.0,TAMPERED,0,1,1.5,1,Microsoft® Word 2016,0.0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.129,0.1793,0.1092,2,0.0769,7.9859,131,0,0
678217-iGATE-Experience.pdf,300204,77.0,TAMPERED,0,1,1.4,1,Xerox WorkCentre 5225A,0.0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0.412,0.1176,0.1242,2,0.0935,7.4299,11,0,0
April-2019-GE-Salary-Slip.pdf,162276,30.0,LIKELY TAMPERED,0,1,1.4,0,JasperReports Library version 6.0.0,0.0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.931,0.1564,0.0292,2,0.1322,7.8887,22,0,0
